      No     Day     Mon    Year  INConcob0000003  INConcsi0000003
     258      14       9    2012        0.4429504        0.3458180
     259      15       9    2012        0.4137498        0.3478627
     260      16       9    2012        0.4061444        0.3484192
     261      17       9    2012        0.3718813        0.3480872
     262      18       9    2012        0.3667591        0.3475856
     263      19       9    2012        0.3780597        0.3528651
     264      20       9    2012        0.3830194        0.3587661
     265      21       9    2012        0.3759973        0.3631180
     266      22       9    2012        0.3279295        0.3674178
     267      23       9    2012        0.3541249        0.3729732
     268      24       9    2012        0.3645194        0.3748299
     269      25       9    2012        0.3941900        0.3756986
     270      26       9    2012        0.3761146        0.6057177
     271      27       9    2012        0.4260181        0.4054651
     272      28       9    2012        0.4198631        0.3842506
     273      29       9    2012        0.3363020        0.3840830
     274      30       9    2012        0.3311157        0.3882349
     275       1      10    2012        0.3639387        0.3920104
     276       2      10    2012        0.4198905        0.3927087
     277       3      10    2012        0.3903853        0.3921113
     278       4      10    2012        0.4371703        0.9989413
     279       5      10    2012        0.5908148        0.8586505
     280       6      10    2012        0.6090857        0.7077343
     281       7      10    2012        0.5449516        0.4749524
     282       8      10    2012        0.4920050        0.4462921
     283       9      10    2012        0.4581273        0.4477245
     284      10      10    2012        0.4694361        0.4527459
     285      11      10    2012        0.4502866        0.4568237
     286      12      10    2012        0.4778345        0.4774746
     287      13      10    2012        0.4639008        0.4988240
     288      14      10    2012        0.4779894        0.7627896
     289      15      10    2012        0.4994659        0.5920851
     290      16      10    2012        0.4926939        0.5379606
     291      17      10    2012        0.4996912        0.5258676
     292      18      10    2012        0.5017056        0.5160175
     293      19      10    2012        0.5014282        0.5030881
     294      20      10    2012        0.4976068        0.4908636
     295      21      10    2012        0.5013372        0.4819288
     296      22      10    2012        0.5102082        0.4784482
     297      23      10    2012        0.5192471        0.4781020
     298      24      10    2012        0.5112433        0.4795136
     299      25      10    2012        0.4663260        0.4818396
     300      26      10    2012        0.4149336        0.4922842
     301      27      10    2012        0.3954507        0.5042675
     302      28      10    2012        0.4077423        0.5159602
     303      29      10    2012        0.4030429        0.5276046
     304      30      10    2012        0.3506940        0.5369124
     305      31      10    2012        0.3394765        0.5416672
     306       1      11    2012        0.3695651        0.5506131
     307       2      11    2012        0.3997578        0.6694868
     308       3      11    2012        0.4444543        0.9036381
     309       4      11    2012        0.6797488        0.9261033
     310       5      11    2012        0.6309141        0.8604128
     311       6      11    2012        0.6029124        1.0202013
     312       7      11    2012        0.6102384        0.8528430
     313       8      11    2012        0.5949518        0.8148729
     314       9      11    2012        0.6877267        0.7797860
     315      10      11    2012        0.7098229        1.0543568
     316      11      11    2012        0.7575064        0.9117614
     317      12      11    2012        0.7560795        0.8696413
     318      13      11    2012        0.7753592        0.8516323
     319      14      11    2012        0.7895184        0.8395786
     320      15      11    2012        0.6564181        0.8316256
     321      16      11    2012        0.6683593        0.8261861
     322      17      11    2012        0.6837709        0.8190679
     323      18      11    2012        0.7061236        0.8342761
     324      19      11    2012        0.7404009        0.8263007
     325      20      11    2012        0.7403710        0.8194676
     326      21      11    2012        0.8591693        0.8195608
     327      22      11    2012        0.7856835        0.8132081
     328      23      11    2012        0.7837930        0.8354913
     329      24      11    2012        0.8222553        0.8311073
     330      25      11    2012        0.8377306        0.8044115
     331      26      11    2012        0.7795690        0.8341732
     332      27      11    2012        0.7846380        0.8522823
     333      28      11    2012        0.8107837        1.0266022
     334      29      11    2012        0.8972213        1.2426623
     335      30      11    2012        1.0386678        1.1268877
     336       1      12    2012        1.0164027        1.1392182
     337       2      12    2012        1.0090464        1.1611248
     338       3      12    2012        1.0212474        1.1861416
     339       4      12    2012        1.0255898        1.4434079
     340       5      12    2012        1.0394906        1.3953964
     341       6      12    2012        1.0362458        1.4256794
     342       7      12    2012        1.0379027        1.4724227
     343       8      12    2012        1.0007293        1.5321838
     344       9      12    2012        1.0761206        1.5589954
     345      10      12    2012        1.0347894        1.5645727
     346      11      12    2012        1.0540899        1.5917132
     347      12      12    2012        1.0697556        1.6219564
     348      13      12    2012        1.0691321        1.6477626
     349      14      12    2012        1.0680846        1.6492329
     350      15      12    2012        1.4362200        1.9610428
     351      16      12    2012        2.2861431        2.2825656
     352      17      12    2012        3.1065977        2.5744245
     353      18      12    2012        3.7315693        2.8216260
     354      19      12    2012        3.9450905        2.9235985
     355      20      12    2012        4.1412110        2.9409941
     356      21      12    2012        4.1282525        2.9286041
     357      22      12    2012        4.1791601        2.9009593
     358      23      12    2012        3.9784095        3.0425505
     359      24      12    2012        4.6322494        3.0815165
     360      25      12    2012        4.7642059        2.9192029
     361      26      12    2012        4.6240540        2.8563982
     362      27      12    2012        4.4548674        2.8600221
     363      28      12    2012        4.6108837        2.8972959
     364      29      12    2012        4.7012033        2.9200422
     365      30      12    2012        4.5376654        2.9547917
     366      31      12    2012        4.2639422        2.9852986
